seed,split,baseline,sample_id,rowwise_pearson,rmse
7,split_random,global_train_mean,Disulfiram __A549__10000nM__24h,0.06951887698096273,0.06122908908450631
7,split_random,global_train_mean,Disulfiram __K562__1000nM__24h,0.12228858156865698,0.056231188549024
7,split_random,global_train_mean,Disulfiram __K562__10000nM__24h,0.11523161968192205,0.05938052382742252
7,split_random,global_train_mean,Divalproex Sodium__A549__10000nM__24h,0.2156763953428752,0.07444632348262485
7,split_random,global_train_mean,Divalproex Sodium__K562__10nM__24h,0.018235340762634427,0.06252911484316469
7,split_random,global_train_mean,Divalproex Sodium__MCF7__10nM__24h,-0.018050967398008648,0.04602160517674689
7,split_random,global_train_mean,Droxinostat__A549__10nM__24h,-0.0014472993846271595,0.058530352384889996
7,split_random,global_train_mean,Droxinostat__K562__10nM__24h,0.06684148901984628,0.06185221601798407
7,split_random,global_train_mean,Droxinostat__MCF7__10000nM__24h,0.10678639998253003,0.04764493606867801
7,split_random,global_train_mean,EED226__A549__100nM__24h,0.03327262572600068,0.06769523067201598
7,split_random,global_train_mean,EED226__A549__1000nM__24h,0.1356526759827034,0.06501090474635986
7,split_random,global_train_mean,ENMD-2076__A549__100nM__24h,0.23737607264760327,0.06855090842694184
7,split_random,global_train_mean,ENMD-2076__K562__10nM__24h,0.13482381636573978,0.05894149057121949
7,split_random,global_train_mean,ENMD-2076__K562__10000nM__24h,0.3439068816318069,0.11717191644282997
7,split_random,global_train_mean,ENMD-2076 L-(+)-Tartaric acid __K562__10nM__24h,0.027333397572102323,0.06778858421445662
7,split_random,global_train_mean,ENMD-2076 L-(+)-Tartaric acid __K562__10000nM__24h,0.29243267472528395,0.11231183920166947
7,split_random,global_train_mean,ENMD-2076 L-(+)-Tartaric acid __MCF7__100nM__24h,0.2829393605356302,0.05516169358040122
7,split_random,global_train_mean,Ellagic acid__A549__10nM__24h,0.033015123176322644,0.06759834847141602
7,split_random,global_train_mean,Ellagic acid__A549__1000nM__24h,0.093789855124744,0.06374542334479683
7,split_random,global_train_mean,Ellagic acid__K562__100nM__24h,0.04641188271224335,0.06341166124652635
7,split_random,global_train_mean,Ellagic acid__K562__1000nM__24h,0.08881173344601544,0.06416753144577503
7,split_random,global_train_mean,Ellagic acid__MCF7__10000nM__24h,0.13490381848871955,0.05048372180486149
7,split_random,global_train_mean,Entacapone__A549__10000nM__24h,0.1597699483071451,0.06043235830981635
7,split_random,global_train_mean,Entacapone__K562__10000nM__24h,0.1499659707664176,0.06535715161928746
7,split_random,global_train_mean,Entacapone__MCF7__100nM__24h,0.22699664250205656,0.04367229995667582
7,split_random,global_train_mean,Entinostat (MS-275)__A549__100nM__24h,0.12249782488006956,0.06662617013310332
7,split_random,global_train_mean,Entinostat (MS-275)__A549__1000nM__24h,0.31113205415176776,0.09384584896958097
7,split_random,global_train_mean,Entinostat (MS-275)__K562__10nM__24h,0.11299600720795284,0.07467569611180283
7,split_random,global_train_mean,Entinostat (MS-275)__K562__1000nM__24h,0.43281072053117214,0.12906027981428725
7,split_random,global_train_mean,Entinostat (MS-275)__MCF7__10000nM__24h,0.4982956723609023,0.2745145909628123
7,split_random,global_train_mean,Enzastaurin (LY317615)__MCF7__10000nM__24h,0.03456271095110492,0.126849487461839
7,split_random,global_train_mean,Epothilone A__MCF7__10nM__24h,0.15232659033346035,0.12518402186038552
7,split_random,global_train_mean,Epothilone A__MCF7__10000nM__24h,0.16644517133521736,0.09661055308774545
7,split_random,global_train_mean,FLLL32__A549__1000nM__24h,0.014343585306110958,0.06711235588982353
7,split_random,global_train_mean,FLLL32__K562__10nM__24h,0.13644884903672902,0.057397199953899906
7,split_random,global_train_mean,FLLL32__K562__100nM__24h,0.0006779559680597493,0.06353688567671963
7,split_random,global_train_mean,FLLL32__MCF7__10nM__24h,-0.08428083020706127,0.0462725658416688
7,split_random,global_train_mean,FLLL32__MCF7__10000nM__24h,0.28921387096826107,0.2781502116266013
7,split_random,global_train_mean,Fasudil (HA-1077) HCl__K562__1000nM__24h,0.06740792777286789,0.06457619023597277
7,split_random,global_train_mean,Filgotinib (GLPG0634)__A549__1000nM__24h,0.1183443951646695,0.06694539759984561
7,split_random,global_train_mean,Filgotinib (GLPG0634)__A549__10000nM__24h,0.22252002647979993,0.08111866089947989
7,split_random,global_train_mean,Flavopiridol HCl__K562__10nM__24h,0.034795253126255976,0.08959868712842416
7,split_random,global_train_mean,Flavopiridol HCl__K562__100nM__24h,0.08883624867083151,0.1337819922955259
7,split_random,global_train_mean,"Fluorouracil (5-Fluoracil, 5-FU)__A549__1000nM__24h",0.21580253147120984,0.06705620300215488
7,split_random,global_train_mean,"Fluorouracil (5-Fluoracil, 5-FU)__MCF7__100nM__24h",0.1488954076035906,0.04335547838376938
7,split_random,global_train_mean,"Fluorouracil (5-Fluoracil, 5-FU)__MCF7__10000nM__24h",0.27365121955592386,0.06826124118769053
7,split_random,global_train_mean,Fulvestrant__MCF7__100nM__24h,0.4100504722021659,0.1482671185481719
7,split_random,global_train_mean,G007-LK__A549__10000nM__24h,0.15881621170342225,0.08318394160605316
7,split_random,global_train_mean,G007-LK__K562__10nM__24h,-0.025676991924011662,0.0650602885045318
7,split_random,global_train_mean,G007-LK__K562__1000nM__24h,0.08594581581594402,0.06513481596346773
7,split_random,global_train_mean,G007-LK__MCF7__100nM__24h,0.13045596353364697,0.05224216608060056
7,split_random,global_train_mean,G007-LK__MCF7__1000nM__24h,0.24063913146928154,0.05338096928638023
7,split_random,global_train_mean,GSK1070916__A549__10000nM__24h,0.5152805338583778,0.16037116642508775
7,split_random,global_train_mean,GSK1070916__MCF7__10nM__24h,0.3391810568929569,0.07949856414551419
7,split_random,global_train_mean,GSK1070916__MCF7__1000nM__24h,0.5048911752385218,0.07431736966801969
7,split_random,global_train_mean,GSK J1__A549__10nM__24h,0.10773083023562431,0.05715259172026776
7,split_random,global_train_mean,GSK J1__A549__100nM__24h,0.11344510470218086,0.06228463906105146
7,split_random,global_train_mean,GSK J1__A549__10000nM__24h,0.19677440294972237,0.06263429789470425
7,split_random,global_train_mean,GSK J1__K562__10nM__24h,0.19758088997737136,0.05936178741120589
