sample_id,dataset,drug_id,drug_name,cell_context,cell_type,cell_line,tissue,batch,dose,time,condition,control_sample_id,source_file,source_split,split,control
"T cells, Sunitinib",openproblems_neurips2023,Sunitinib,Sunitinib,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"B cells, Tivozanib",openproblems_neurips2023,Tivozanib,Tivozanib,B cells,B cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False
"Myeloid cells, Tivozanib",openproblems_neurips2023,Tivozanib,Tivozanib,Myeloid cells,Myeloid cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False
"NK cells, Tivozanib",openproblems_neurips2023,Tivozanib,Tivozanib,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, Tivozanib",openproblems_neurips2023,Tivozanib,Tivozanib,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"B cells, Tamatinib",openproblems_neurips2023,Tamatinib,Tamatinib,B cells,B cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False
"Myeloid cells, Tamatinib",openproblems_neurips2023,Tamatinib,Tamatinib,Myeloid cells,Myeloid cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False
"NK cells, Tamatinib",openproblems_neurips2023,Tamatinib,Tamatinib,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, Tamatinib",openproblems_neurips2023,Tamatinib,Tamatinib,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"NK cells, Ixabepilone",openproblems_neurips2023,Ixabepilone,Ixabepilone,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, Ixabepilone",openproblems_neurips2023,Ixabepilone,Ixabepilone,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"B cells, Linagliptin",openproblems_neurips2023,Linagliptin,Linagliptin,B cells,B cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"Myeloid cells, Linagliptin",openproblems_neurips2023,Linagliptin,Linagliptin,Myeloid cells,Myeloid cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"NK cells, Linagliptin",openproblems_neurips2023,Linagliptin,Linagliptin,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, Linagliptin",openproblems_neurips2023,Linagliptin,Linagliptin,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"B cells, 5-(9-Isopropyl-8-methyl-2-morpholino-9H-purin-6-yl)pyrimidin-2-amine",openproblems_neurips2023,5-(9-Isopropyl-8-methyl-2-morpholino-9H-purin-6-yl)pyrimidin-2-amine,5-(9-Isopropyl-8-methyl-2-morpholino-9H-purin-6-yl)pyrimidin-2-amine,B cells,B cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False
"Myeloid cells, 5-(9-Isopropyl-8-methyl-2-morpholino-9H-purin-6-yl)pyrimidin-2-amine",openproblems_neurips2023,5-(9-Isopropyl-8-methyl-2-morpholino-9H-purin-6-yl)pyrimidin-2-amine,5-(9-Isopropyl-8-methyl-2-morpholino-9H-purin-6-yl)pyrimidin-2-amine,Myeloid cells,Myeloid cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False
"NK cells, 5-(9-Isopropyl-8-methyl-2-morpholino-9H-purin-6-yl)pyrimidin-2-amine",openproblems_neurips2023,5-(9-Isopropyl-8-methyl-2-morpholino-9H-purin-6-yl)pyrimidin-2-amine,5-(9-Isopropyl-8-methyl-2-morpholino-9H-purin-6-yl)pyrimidin-2-amine,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, 5-(9-Isopropyl-8-methyl-2-morpholino-9H-purin-6-yl)pyrimidin-2-amine",openproblems_neurips2023,5-(9-Isopropyl-8-methyl-2-morpholino-9H-purin-6-yl)pyrimidin-2-amine,5-(9-Isopropyl-8-methyl-2-morpholino-9H-purin-6-yl)pyrimidin-2-amine,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"B cells, O-Demethylated Adapalene",openproblems_neurips2023,O-Demethylated Adapalene,O-Demethylated Adapalene,B cells,B cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"Myeloid cells, O-Demethylated Adapalene",openproblems_neurips2023,O-Demethylated Adapalene,O-Demethylated Adapalene,Myeloid cells,Myeloid cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"NK cells, O-Demethylated Adapalene",openproblems_neurips2023,O-Demethylated Adapalene,O-Demethylated Adapalene,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, O-Demethylated Adapalene",openproblems_neurips2023,O-Demethylated Adapalene,O-Demethylated Adapalene,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"NK cells, Protriptyline",openproblems_neurips2023,Protriptyline,Protriptyline,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, Protriptyline",openproblems_neurips2023,Protriptyline,Protriptyline,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"B cells, I-BET151",openproblems_neurips2023,I-BET151,I-BET151,B cells,B cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False
"Myeloid cells, I-BET151",openproblems_neurips2023,I-BET151,I-BET151,Myeloid cells,Myeloid cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False
"NK cells, I-BET151",openproblems_neurips2023,I-BET151,I-BET151,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, I-BET151",openproblems_neurips2023,I-BET151,I-BET151,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"B cells, Foretinib",openproblems_neurips2023,Foretinib,Foretinib,B cells,B cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"NK cells, Foretinib",openproblems_neurips2023,Foretinib,Foretinib,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, Foretinib",openproblems_neurips2023,Foretinib,Foretinib,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"B cells, GW843682X",openproblems_neurips2023,GW843682X,GW843682X,B cells,B cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False
"Myeloid cells, GW843682X",openproblems_neurips2023,GW843682X,GW843682X,Myeloid cells,Myeloid cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False
"NK cells, GW843682X",openproblems_neurips2023,GW843682X,GW843682X,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, GW843682X",openproblems_neurips2023,GW843682X,GW843682X,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"NK cells, BMS-387032",openproblems_neurips2023,BMS-387032,BMS-387032,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, BMS-387032",openproblems_neurips2023,BMS-387032,BMS-387032,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"B cells, IN1451",openproblems_neurips2023,IN1451,IN1451,B cells,B cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False
"Myeloid cells, IN1451",openproblems_neurips2023,IN1451,IN1451,Myeloid cells,Myeloid cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False
"NK cells, IN1451",openproblems_neurips2023,IN1451,IN1451,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, IN1451",openproblems_neurips2023,IN1451,IN1451,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"B cells, Raloxifene",openproblems_neurips2023,Raloxifene,Raloxifene,B cells,B cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False
"Myeloid cells, Raloxifene",openproblems_neurips2023,Raloxifene,Raloxifene,Myeloid cells,Myeloid cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False
"NK cells, Raloxifene",openproblems_neurips2023,Raloxifene,Raloxifene,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, Raloxifene",openproblems_neurips2023,Raloxifene,Raloxifene,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"B cells, Topotecan",openproblems_neurips2023,Topotecan,Topotecan,B cells,B cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False
"Myeloid cells, Topotecan",openproblems_neurips2023,Topotecan,Topotecan,Myeloid cells,Myeloid cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False
"NK cells, Topotecan",openproblems_neurips2023,Topotecan,Topotecan,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, Topotecan",openproblems_neurips2023,Topotecan,Topotecan,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"B cells, BAY 87-2243",openproblems_neurips2023,BAY 87-2243,BAY 87-2243,B cells,B cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False
"Myeloid cells, BAY 87-2243",openproblems_neurips2023,BAY 87-2243,BAY 87-2243,Myeloid cells,Myeloid cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False
"NK cells, BAY 87-2243",openproblems_neurips2023,BAY 87-2243,BAY 87-2243,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, BAY 87-2243",openproblems_neurips2023,BAY 87-2243,BAY 87-2243,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"NK cells, Phenylbutazone",openproblems_neurips2023,Phenylbutazone,Phenylbutazone,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, Phenylbutazone",openproblems_neurips2023,Phenylbutazone,Phenylbutazone,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"NK cells, K-02288",openproblems_neurips2023,K-02288,K-02288,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, K-02288",openproblems_neurips2023,K-02288,K-02288,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"NK cells, BMS-777607",openproblems_neurips2023,BMS-777607,BMS-777607,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, BMS-777607",openproblems_neurips2023,BMS-777607,BMS-777607,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"B cells, Porcn Inhibitor III",openproblems_neurips2023,Porcn Inhibitor III,Porcn Inhibitor III,B cells,B cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"Myeloid cells, Porcn Inhibitor III",openproblems_neurips2023,Porcn Inhibitor III,Porcn Inhibitor III,Myeloid cells,Myeloid cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"NK cells, Porcn Inhibitor III",openproblems_neurips2023,Porcn Inhibitor III,Porcn Inhibitor III,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, Porcn Inhibitor III",openproblems_neurips2023,Porcn Inhibitor III,Porcn Inhibitor III,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"B cells, TL_HRAS26",openproblems_neurips2023,TL_HRAS26,TL_HRAS26,B cells,B cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False
"Myeloid cells, TL_HRAS26",openproblems_neurips2023,TL_HRAS26,TL_HRAS26,Myeloid cells,Myeloid cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False
"NK cells, TL_HRAS26",openproblems_neurips2023,TL_HRAS26,TL_HRAS26,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, TL_HRAS26",openproblems_neurips2023,TL_HRAS26,TL_HRAS26,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"B cells, Proscillaridin A;Proscillaridin-A",openproblems_neurips2023,Proscillaridin A;Proscillaridin-A,Proscillaridin A;Proscillaridin-A,B cells,B cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False
"NK cells, Proscillaridin A;Proscillaridin-A",openproblems_neurips2023,Proscillaridin A;Proscillaridin-A,Proscillaridin A;Proscillaridin-A,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, Proscillaridin A;Proscillaridin-A",openproblems_neurips2023,Proscillaridin A;Proscillaridin-A,Proscillaridin A;Proscillaridin-A,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"NK cells, Vorinostat",openproblems_neurips2023,Vorinostat,Vorinostat,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, Vorinostat",openproblems_neurips2023,Vorinostat,Vorinostat,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"B cells, BMS-265246",openproblems_neurips2023,BMS-265246,BMS-265246,B cells,B cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False
"Myeloid cells, BMS-265246",openproblems_neurips2023,BMS-265246,BMS-265246,Myeloid cells,Myeloid cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False
"NK cells, BMS-265246",openproblems_neurips2023,BMS-265246,BMS-265246,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, BMS-265246",openproblems_neurips2023,BMS-265246,BMS-265246,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"NK cells, Ruxolitinib",openproblems_neurips2023,Ruxolitinib,Ruxolitinib,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, Ruxolitinib",openproblems_neurips2023,Ruxolitinib,Ruxolitinib,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"B cells, Pomalidomide",openproblems_neurips2023,Pomalidomide,Pomalidomide,B cells,B cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False
"Myeloid cells, Pomalidomide",openproblems_neurips2023,Pomalidomide,Pomalidomide,Myeloid cells,Myeloid cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False
"NK cells, Pomalidomide",openproblems_neurips2023,Pomalidomide,Pomalidomide,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, Pomalidomide",openproblems_neurips2023,Pomalidomide,Pomalidomide,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"B cells, Dovitinib",openproblems_neurips2023,Dovitinib,Dovitinib,B cells,B cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False
"Myeloid cells, Dovitinib",openproblems_neurips2023,Dovitinib,Dovitinib,Myeloid cells,Myeloid cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False
"NK cells, Dovitinib",openproblems_neurips2023,Dovitinib,Dovitinib,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, Dovitinib",openproblems_neurips2023,Dovitinib,Dovitinib,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"NK cells, AVL-292",openproblems_neurips2023,AVL-292,AVL-292,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, AVL-292",openproblems_neurips2023,AVL-292,AVL-292,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"B cells, Navitoclax",openproblems_neurips2023,Navitoclax,Navitoclax,B cells,B cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False
"Myeloid cells, Navitoclax",openproblems_neurips2023,Navitoclax,Navitoclax,Myeloid cells,Myeloid cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False
"NK cells, Navitoclax",openproblems_neurips2023,Navitoclax,Navitoclax,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, Navitoclax",openproblems_neurips2023,Navitoclax,Navitoclax,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"B cells, Methotrexate",openproblems_neurips2023,Methotrexate,Methotrexate,B cells,B cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False
"Myeloid cells, Methotrexate",openproblems_neurips2023,Methotrexate,Methotrexate,Myeloid cells,Myeloid cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False
"NK cells, Methotrexate",openproblems_neurips2023,Methotrexate,Methotrexate,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, Methotrexate",openproblems_neurips2023,Methotrexate,Methotrexate,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"B cells, Palbociclib",openproblems_neurips2023,Palbociclib,Palbociclib,B cells,B cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"Myeloid cells, Palbociclib",openproblems_neurips2023,Palbociclib,Palbociclib,Myeloid cells,Myeloid cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"NK cells, Palbociclib",openproblems_neurips2023,Palbociclib,Palbociclib,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, Palbociclib",openproblems_neurips2023,Palbociclib,Palbociclib,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"NK cells, Trametinib",openproblems_neurips2023,Trametinib,Trametinib,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
