sample_id,dataset,drug_id,drug_name,cell_context,cell_type,cell_line,tissue,batch,dose,time,condition,control_sample_id,source_file,source_split,split,control,smiles,scaffold,split_random,split_cell_heldout,split_scaffold_heldout,split_cell_scaffold_heldout
"NK cells, Belinostat",openproblems_neurips2023,Belinostat,Belinostat,NK cells,NK cells,PBMC,blood,de_train:control,not_available_in_de_h5ad,24h,control,,de_train.h5ad,de_train,control,True,O=C(/C=C/c1cccc(S(=O)(=O)Nc2ccccc2)c1)NO,O=S(=O)(Nc1ccccc1)c1ccccc1,train,train,train,train
"T cells, Belinostat",openproblems_neurips2023,Belinostat,Belinostat,T cells,T cells,PBMC,blood,de_train:control,not_available_in_de_h5ad,24h,control,,de_train.h5ad,de_train,control,True,O=C(/C=C/c1cccc(S(=O)(=O)Nc2ccccc2)c1)NO,O=S(=O)(Nc1ccccc1)c1ccccc1,train,test,train,excluded
"B cells, Dabrafenib",openproblems_neurips2023,Dabrafenib,Dabrafenib,B cells,B cells,PBMC,blood,de_train:control,not_available_in_de_h5ad,24h,control,,de_train.h5ad,de_train,control,True,CC(C)(C)c1nc(-c2cccc(NS(=O)(=O)c3c(F)cccc3F)c2F)c(-c2ccnc(N)n2)s1,O=S(=O)(Nc1cccc(-c2ncsc2-c2ccncn2)c1)c1ccccc1,train,train,train,train
"Myeloid cells, Dabrafenib",openproblems_neurips2023,Dabrafenib,Dabrafenib,Myeloid cells,Myeloid cells,PBMC,blood,de_train:control,not_available_in_de_h5ad,24h,control,,de_train.h5ad,de_train,control,True,CC(C)(C)c1nc(-c2cccc(NS(=O)(=O)c3c(F)cccc3F)c2F)c(-c2ccnc(N)n2)s1,O=S(=O)(Nc1cccc(-c2ncsc2-c2ccncn2)c1)c1ccccc1,train,train,train,train
"NK cells, Dabrafenib",openproblems_neurips2023,Dabrafenib,Dabrafenib,NK cells,NK cells,PBMC,blood,de_train:control,not_available_in_de_h5ad,24h,control,,de_train.h5ad,de_train,control,True,CC(C)(C)c1nc(-c2cccc(NS(=O)(=O)c3c(F)cccc3F)c2F)c(-c2ccnc(N)n2)s1,O=S(=O)(Nc1cccc(-c2ncsc2-c2ccncn2)c1)c1ccccc1,train,train,train,train
"T cells, Dabrafenib",openproblems_neurips2023,Dabrafenib,Dabrafenib,T cells,T cells,PBMC,blood,de_train:control,not_available_in_de_h5ad,24h,control,,de_train.h5ad,de_train,control,True,CC(C)(C)c1nc(-c2cccc(NS(=O)(=O)c3c(F)cccc3F)c2F)c(-c2ccnc(N)n2)s1,O=S(=O)(Nc1cccc(-c2ncsc2-c2ccncn2)c1)c1ccccc1,train,test,train,excluded
"NK cells, Atorvastatin",openproblems_neurips2023,Atorvastatin,Atorvastatin,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O,O=C(Nc1ccccc1)c1c[nH]c(-c2ccccc2)c1-c1ccccc1,test,train,train,train
"T cells, Atorvastatin",openproblems_neurips2023,Atorvastatin,Atorvastatin,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O,O=C(Nc1ccccc1)c1c[nH]c(-c2ccccc2)c1-c1ccccc1,train,test,train,excluded
"B cells, Ganetespib (STA-9090)",openproblems_neurips2023,Ganetespib (STA-9090),Ganetespib (STA-9090),B cells,B cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False,CC(C)c1cc(-c2n[nH]c(=O)n2-c2ccc3c(ccn3C)c2)c(O)cc1O,O=c1[nH]nc(-c2ccccc2)n1-c1ccc2[nH]ccc2c1,train,train,train,train
"Myeloid cells, Ganetespib (STA-9090)",openproblems_neurips2023,Ganetespib (STA-9090),Ganetespib (STA-9090),Myeloid cells,Myeloid cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False,CC(C)c1cc(-c2n[nH]c(=O)n2-c2ccc3c(ccn3C)c2)c(O)cc1O,O=c1[nH]nc(-c2ccccc2)n1-c1ccc2[nH]ccc2c1,train,train,train,train
"NK cells, Ganetespib (STA-9090)",openproblems_neurips2023,Ganetespib (STA-9090),Ganetespib (STA-9090),NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False,CC(C)c1cc(-c2n[nH]c(=O)n2-c2ccc3c(ccn3C)c2)c(O)cc1O,O=c1[nH]nc(-c2ccccc2)n1-c1ccc2[nH]ccc2c1,train,train,train,train
"T cells, Ganetespib (STA-9090)",openproblems_neurips2023,Ganetespib (STA-9090),Ganetespib (STA-9090),T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False,CC(C)c1cc(-c2n[nH]c(=O)n2-c2ccc3c(ccn3C)c2)c(O)cc1O,O=c1[nH]nc(-c2ccccc2)n1-c1ccc2[nH]ccc2c1,train,test,train,excluded
"NK cells, Clomipramine",openproblems_neurips2023,Clomipramine,Clomipramine,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,c1ccc2c(c1)CCc1ccccc1N2,train,train,train,train
"T cells, Clomipramine",openproblems_neurips2023,Clomipramine,Clomipramine,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,c1ccc2c(c1)CCc1ccccc1N2,train,test,train,excluded
"B cells, Sunitinib",openproblems_neurips2023,Sunitinib,Sunitinib,B cells,B cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,O=C1Nc2ccccc2/C1=C/c1ccc[nH]1,train,train,test,excluded
"Myeloid cells, Sunitinib",openproblems_neurips2023,Sunitinib,Sunitinib,Myeloid cells,Myeloid cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,O=C1Nc2ccccc2/C1=C/c1ccc[nH]1,train,train,test,excluded
"NK cells, Sunitinib",openproblems_neurips2023,Sunitinib,Sunitinib,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,O=C1Nc2ccccc2/C1=C/c1ccc[nH]1,train,train,test,excluded
"T cells, Sunitinib",openproblems_neurips2023,Sunitinib,Sunitinib,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,O=C1Nc2ccccc2/C1=C/c1ccc[nH]1,train,test,test,test
"B cells, Tivozanib",openproblems_neurips2023,Tivozanib,Tivozanib,B cells,B cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False,COc1cc2nccc(Oc3ccc(NC(=O)Nc4cc(C)on4)c(Cl)c3)c2cc1OC,O=C(Nc1ccc(Oc2ccnc3ccccc23)cc1)Nc1ccon1,test,train,test,excluded
"Myeloid cells, Tivozanib",openproblems_neurips2023,Tivozanib,Tivozanib,Myeloid cells,Myeloid cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False,COc1cc2nccc(Oc3ccc(NC(=O)Nc4cc(C)on4)c(Cl)c3)c2cc1OC,O=C(Nc1ccc(Oc2ccnc3ccccc23)cc1)Nc1ccon1,train,train,test,excluded
"NK cells, Tivozanib",openproblems_neurips2023,Tivozanib,Tivozanib,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False,COc1cc2nccc(Oc3ccc(NC(=O)Nc4cc(C)on4)c(Cl)c3)c2cc1OC,O=C(Nc1ccc(Oc2ccnc3ccccc23)cc1)Nc1ccon1,train,train,test,excluded
"T cells, Tivozanib",openproblems_neurips2023,Tivozanib,Tivozanib,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False,COc1cc2nccc(Oc3ccc(NC(=O)Nc4cc(C)on4)c(Cl)c3)c2cc1OC,O=C(Nc1ccc(Oc2ccnc3ccccc23)cc1)Nc1ccon1,test,test,test,test
"B cells, Tamatinib",openproblems_neurips2023,Tamatinib,Tamatinib,B cells,B cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False,COc1cc(Nc2ncc(F)c(Nc3ccc4c(n3)NC(=O)C(C)(C)O4)n2)cc(OC)c1OC,O=C1COc2ccc(Nc3ccnc(Nc4ccccc4)n3)nc2N1,train,train,train,train
"Myeloid cells, Tamatinib",openproblems_neurips2023,Tamatinib,Tamatinib,Myeloid cells,Myeloid cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False,COc1cc(Nc2ncc(F)c(Nc3ccc4c(n3)NC(=O)C(C)(C)O4)n2)cc(OC)c1OC,O=C1COc2ccc(Nc3ccnc(Nc4ccccc4)n3)nc2N1,train,train,train,train
"NK cells, Tamatinib",openproblems_neurips2023,Tamatinib,Tamatinib,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False,COc1cc(Nc2ncc(F)c(Nc3ccc4c(n3)NC(=O)C(C)(C)O4)n2)cc(OC)c1OC,O=C1COc2ccc(Nc3ccnc(Nc4ccccc4)n3)nc2N1,train,train,train,train
"T cells, Tamatinib",openproblems_neurips2023,Tamatinib,Tamatinib,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False,COc1cc(Nc2ncc(F)c(Nc3ccc4c(n3)NC(=O)C(C)(C)O4)n2)cc(OC)c1OC,O=C1COc2ccc(Nc3ccnc(Nc4ccccc4)n3)nc2N1,train,test,train,excluded
"NK cells, Ixabepilone",openproblems_neurips2023,Ixabepilone,Ixabepilone,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False,C/C(=C\c1csc(C)n1)[C@@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)N1,O=C1CCCCCCC2O[C@H]2C[C@@H](C=Cc2cscn2)NC(=O)CCC1,test,train,test,excluded
"T cells, Ixabepilone",openproblems_neurips2023,Ixabepilone,Ixabepilone,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False,C/C(=C\c1csc(C)n1)[C@@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)N1,O=C1CCCCCCC2O[C@H]2C[C@@H](C=Cc2cscn2)NC(=O)CCC1,train,test,test,test
"B cells, Linagliptin",openproblems_neurips2023,Linagliptin,Linagliptin,B cells,B cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,O=c1[nH]c2nc(N3CCCCC3)[nH]c2c(=O)n1Cc1ncc2ccccc2n1,train,train,train,train
"Myeloid cells, Linagliptin",openproblems_neurips2023,Linagliptin,Linagliptin,Myeloid cells,Myeloid cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,O=c1[nH]c2nc(N3CCCCC3)[nH]c2c(=O)n1Cc1ncc2ccccc2n1,test,train,train,train
"NK cells, Linagliptin",openproblems_neurips2023,Linagliptin,Linagliptin,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,O=c1[nH]c2nc(N3CCCCC3)[nH]c2c(=O)n1Cc1ncc2ccccc2n1,train,train,train,train
"T cells, Linagliptin",openproblems_neurips2023,Linagliptin,Linagliptin,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,O=c1[nH]c2nc(N3CCCCC3)[nH]c2c(=O)n1Cc1ncc2ccccc2n1,train,test,train,excluded
"B cells, 5-(9-Isopropyl-8-methyl-2-morpholino-9H-purin-6-yl)pyrimidin-2-amine",openproblems_neurips2023,5-(9-Isopropyl-8-methyl-2-morpholino-9H-purin-6-yl)pyrimidin-2-amine,5-(9-Isopropyl-8-methyl-2-morpholino-9H-purin-6-yl)pyrimidin-2-amine,B cells,B cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False,Cc1nc2c(-c3cnc(N)nc3)nc(N3CCOCC3)nc2n1C(C)C,c1ncc(-c2nc(N3CCOCC3)nc3[nH]cnc23)cn1,train,train,train,train
"Myeloid cells, 5-(9-Isopropyl-8-methyl-2-morpholino-9H-purin-6-yl)pyrimidin-2-amine",openproblems_neurips2023,5-(9-Isopropyl-8-methyl-2-morpholino-9H-purin-6-yl)pyrimidin-2-amine,5-(9-Isopropyl-8-methyl-2-morpholino-9H-purin-6-yl)pyrimidin-2-amine,Myeloid cells,Myeloid cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False,Cc1nc2c(-c3cnc(N)nc3)nc(N3CCOCC3)nc2n1C(C)C,c1ncc(-c2nc(N3CCOCC3)nc3[nH]cnc23)cn1,train,train,train,train
"NK cells, 5-(9-Isopropyl-8-methyl-2-morpholino-9H-purin-6-yl)pyrimidin-2-amine",openproblems_neurips2023,5-(9-Isopropyl-8-methyl-2-morpholino-9H-purin-6-yl)pyrimidin-2-amine,5-(9-Isopropyl-8-methyl-2-morpholino-9H-purin-6-yl)pyrimidin-2-amine,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False,Cc1nc2c(-c3cnc(N)nc3)nc(N3CCOCC3)nc2n1C(C)C,c1ncc(-c2nc(N3CCOCC3)nc3[nH]cnc23)cn1,train,train,train,train
"T cells, 5-(9-Isopropyl-8-methyl-2-morpholino-9H-purin-6-yl)pyrimidin-2-amine",openproblems_neurips2023,5-(9-Isopropyl-8-methyl-2-morpholino-9H-purin-6-yl)pyrimidin-2-amine,5-(9-Isopropyl-8-methyl-2-morpholino-9H-purin-6-yl)pyrimidin-2-amine,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False,Cc1nc2c(-c3cnc(N)nc3)nc(N3CCOCC3)nc2n1C(C)C,c1ncc(-c2nc(N3CCOCC3)nc3[nH]cnc23)cn1,train,test,train,excluded
"B cells, O-Demethylated Adapalene",openproblems_neurips2023,O-Demethylated Adapalene,O-Demethylated Adapalene,B cells,B cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False,O=C(O)c1ccc2cc(-c3ccc(O)c(C45CC6CC(CC(C6)C4)C5)c3)ccc2c1,c1cc(-c2ccc3ccccc3c2)cc(C23CC4CC(CC(C4)C2)C3)c1,train,train,train,train
"Myeloid cells, O-Demethylated Adapalene",openproblems_neurips2023,O-Demethylated Adapalene,O-Demethylated Adapalene,Myeloid cells,Myeloid cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False,O=C(O)c1ccc2cc(-c3ccc(O)c(C45CC6CC(CC(C6)C4)C5)c3)ccc2c1,c1cc(-c2ccc3ccccc3c2)cc(C23CC4CC(CC(C4)C2)C3)c1,train,train,train,train
"NK cells, O-Demethylated Adapalene",openproblems_neurips2023,O-Demethylated Adapalene,O-Demethylated Adapalene,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False,O=C(O)c1ccc2cc(-c3ccc(O)c(C45CC6CC(CC(C6)C4)C5)c3)ccc2c1,c1cc(-c2ccc3ccccc3c2)cc(C23CC4CC(CC(C4)C2)C3)c1,test,train,train,train
"T cells, O-Demethylated Adapalene",openproblems_neurips2023,O-Demethylated Adapalene,O-Demethylated Adapalene,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False,O=C(O)c1ccc2cc(-c3ccc(O)c(C45CC6CC(CC(C6)C4)C5)c3)ccc2c1,c1cc(-c2ccc3ccccc3c2)cc(C23CC4CC(CC(C4)C2)C3)c1,train,test,train,excluded
"NK cells, Protriptyline",openproblems_neurips2023,Protriptyline,Protriptyline,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False,CNCCCC1c2ccccc2C=Cc2ccccc21,C1=Cc2ccccc2Cc2ccccc21,train,train,train,train
"T cells, Protriptyline",openproblems_neurips2023,Protriptyline,Protriptyline,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False,CNCCCC1c2ccccc2C=Cc2ccccc21,C1=Cc2ccccc2Cc2ccccc21,train,test,train,excluded
"B cells, I-BET151",openproblems_neurips2023,I-BET151,I-BET151,B cells,B cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False,COc1cc2c(cc1-c1c(C)noc1C)ncc1[nH]c(=O)n([C@H](C)c3ccccn3)c12,O=c1[nH]c2cnc3cc(-c4cnoc4)ccc3c2n1Cc1ccccn1,test,train,train,train
"Myeloid cells, I-BET151",openproblems_neurips2023,I-BET151,I-BET151,Myeloid cells,Myeloid cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False,COc1cc2c(cc1-c1c(C)noc1C)ncc1[nH]c(=O)n([C@H](C)c3ccccn3)c12,O=c1[nH]c2cnc3cc(-c4cnoc4)ccc3c2n1Cc1ccccn1,train,train,train,train
"NK cells, I-BET151",openproblems_neurips2023,I-BET151,I-BET151,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False,COc1cc2c(cc1-c1c(C)noc1C)ncc1[nH]c(=O)n([C@H](C)c3ccccn3)c12,O=c1[nH]c2cnc3cc(-c4cnoc4)ccc3c2n1Cc1ccccn1,test,train,train,train
"T cells, I-BET151",openproblems_neurips2023,I-BET151,I-BET151,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False,COc1cc2c(cc1-c1c(C)noc1C)ncc1[nH]c(=O)n([C@H](C)c3ccccn3)c12,O=c1[nH]c2cnc3cc(-c4cnoc4)ccc3c2n1Cc1ccccn1,test,test,train,excluded
"B cells, Foretinib",openproblems_neurips2023,Foretinib,Foretinib,B cells,B cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False,COc1cc2c(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3F)ccnc2cc1OCCCN1CCOCC1,O=C(Nc1ccccc1)C1(C(=O)Nc2ccc(Oc3ccnc4cc(OCCCN5CCOCC5)ccc34)cc2)CC1,train,train,test,excluded
"NK cells, Foretinib",openproblems_neurips2023,Foretinib,Foretinib,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False,COc1cc2c(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3F)ccnc2cc1OCCCN1CCOCC1,O=C(Nc1ccccc1)C1(C(=O)Nc2ccc(Oc3ccnc4cc(OCCCN5CCOCC5)ccc34)cc2)CC1,train,train,test,excluded
"T cells, Foretinib",openproblems_neurips2023,Foretinib,Foretinib,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False,COc1cc2c(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3F)ccnc2cc1OCCCN1CCOCC1,O=C(Nc1ccccc1)C1(C(=O)Nc2ccc(Oc3ccnc4cc(OCCCN5CCOCC5)ccc34)cc2)CC1,train,test,test,test
"B cells, GW843682X",openproblems_neurips2023,GW843682X,GW843682X,B cells,B cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False,COc1cc2ncn(-c3cc(OCc4ccccc4C(F)(F)F)c(C(N)=O)s3)c2cc1OC,c1ccc(COc2csc(-n3cnc4ccccc43)c2)cc1,train,train,train,train
"Myeloid cells, GW843682X",openproblems_neurips2023,GW843682X,GW843682X,Myeloid cells,Myeloid cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False,COc1cc2ncn(-c3cc(OCc4ccccc4C(F)(F)F)c(C(N)=O)s3)c2cc1OC,c1ccc(COc2csc(-n3cnc4ccccc43)c2)cc1,train,train,train,train
"NK cells, GW843682X",openproblems_neurips2023,GW843682X,GW843682X,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False,COc1cc2ncn(-c3cc(OCc4ccccc4C(F)(F)F)c(C(N)=O)s3)c2cc1OC,c1ccc(COc2csc(-n3cnc4ccccc43)c2)cc1,test,train,train,train
"T cells, GW843682X",openproblems_neurips2023,GW843682X,GW843682X,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False,COc1cc2ncn(-c3cc(OCc4ccccc4C(F)(F)F)c(C(N)=O)s3)c2cc1OC,c1ccc(COc2csc(-n3cnc4ccccc43)c2)cc1,train,test,train,excluded
