dataset,seed,split_key,split_type,model_name,mean_all_gene_pearson,mean_all_gene_rmse,mean_top50_overlap,mean_top100_overlap,mean_top200_overlap,mean_top50_direction_agreement,mean_top100_direction_agreement,mean_top200_direction_agreement,n_train,n_val,n_test,runtime_seconds
sciplex3_24h_top2000,17,cell_scaffold_heldout,cell_scaffold_heldout,transigen_adapted_sciplex3,0.0291458819098824,0.328243409781236,0.0514285714285714,0.0773571428571428,0.1282857142857142,0.5387142857142858,0.5332142857142858,0.5226428571428573,1188,119,140,0.098038911819458
sciplex3_24h_top2000,18,random,random,transigen_adapted_sciplex3,0.2190383725163224,0.0821310745408918,0.1698222222222222,0.1992444444444444,0.2461777777777777,0.6555111111111112,0.6574888888888889,0.6526666666666666,1750,175,450,0.1397929191589355
sciplex3_24h_top2000,18,cell_heldout,cell_heldout,transigen_adapted_sciplex3,0.0419288261841645,0.8001903640396205,0.0769063772048846,0.1116553595658073,0.1515468113975576,0.5166621438263229,0.5174762550881955,0.5225848032564451,1463,146,737,0.1224918365478515
sciplex3_24h_top2000,18,scaffold_heldout,scaffold_heldout,transigen_adapted_sciplex3,0.213140702839536,0.0847460671279899,0.1616535433070866,0.1910629921259843,0.2401870078740157,0.6458661417322834,0.644507874015748,0.6396948818897639,1692,169,508,0.1522638797760009
sciplex3_24h_top2000,18,cell_scaffold_heldout,cell_scaffold_heldout,transigen_adapted_sciplex3,0.0177847694225243,0.4296810067433629,0.1088372093023255,0.1158139534883721,0.1430232558139535,0.4958139534883721,0.504186046511628,0.5042441860465117,1127,113,172,0.0960710048675537
sciplex3_24h_top2000,19,random,random,transigen_adapted_sciplex3,0.2237897112859751,0.0782243451176777,0.1710666666666666,0.2017333333333333,0.2455888888888888,0.6645777777777779,0.6577999999999999,0.6527111111111111,1750,175,450,0.1469447612762451
sciplex3_24h_top2000,19,cell_heldout,cell_heldout,transigen_adapted_sciplex3,-0.0046242447048354,0.3253301289897535,0.0989687924016282,0.1198100407055631,0.1541112618724559,0.487652645861601,0.4885345997286296,0.4894097693351424,1463,146,737,0.1258819103240966
sciplex3_24h_top2000,19,scaffold_heldout,scaffold_heldout,transigen_adapted_sciplex3,0.2159773916486173,0.0759644975137544,0.1764920273348519,0.2017084282460136,0.2455694760820045,0.6603189066059225,0.6534624145785877,0.6449088838268793,1761,176,439,0.1444768905639648
sciplex3_24h_top2000,19,cell_scaffold_heldout,cell_scaffold_heldout,transigen_adapted_sciplex3,0.0292379331632618,0.5630761162162512,0.0702068965517241,0.093103448275862,0.1313793103448276,0.5351724137931035,0.5286206896551725,0.5287931034482759,1169,117,145,0.107119083404541
sciplex3_24h_top2000,20,random,random,transigen_adapted_sciplex3,0.2152518991615803,0.0782462807612659,0.1653777777777778,0.1902444444444444,0.2381444444444444,0.656,0.6576444444444445,0.6501888888888889,1750,175,450,0.1697196960449218
sciplex3_24h_top2000,20,cell_heldout,cell_heldout,transigen_adapted_sciplex3,0.0237080089579181,0.3506852451870879,0.1155223880597015,0.1277747625508819,0.1552374491180461,0.515359565807327,0.5086024423337857,0.515359565807327,1463,146,737,0.1209349632263183
