query_name,matched_name,pubchem_cid,canonical_smiles,isomeric_smiles,iupac_name,molecular_formula,status
Avagacestat (BMS-708163),Avagacestat (BMS-708163),46883536,C1=CC(=CC=C1S(=O)(=O)N(CC2=C(C=C(C=C2)C3=NOC=N3)F)[C@H](CCC(F)(F)F)C(=O)N)Cl,C1=CC(=CC=C1S(=O)(=O)N(CC2=C(C=C(C=C2)C3=NOC=N3)F)[C@H](CCC(F)(F)F)C(=O)N)Cl,"(2R)-2-[(4-chlorophenyl)sulfonyl-[[2-fluoro-4-(1,2,4-oxadiazol-3-yl)phenyl]methyl]amino]-5,5,5-trifluoropentanamide",C20H17ClF4N4O4S,matched
Azacitidine ,Azacitidine,9444,C1=NC(=NC(=O)N1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)N,C1=NC(=NC(=O)N1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)N,"4-amino-1-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-1,3,5-triazin-2-one",C8H12N4O5,matched
BMS-265246,BMS-265246,135402864,CCCCOC1=C(C=NC2=NNC=C12)C(=O)C3=C(C=C(C=C3F)C)F,CCCCOC1=C(C=NC2=NNC=C12)C(=O)C3=C(C=C(C=C3F)C)F,"(4-butoxy-2H-pyrazolo[3,4-b]pyridin-5-yl)-(2,6-difluoro-4-methylphenyl)methanone",C18H17F2N3O2,matched
BMS-536924,BMS-536924,135440466,CC1=CC(=CC2=C1N=C(N2)C3=C(C=CNC3=O)NC[C@H](C4=CC(=CC=C4)Cl)O)N5CCOCC5,CC1=CC(=CC2=C1N=C(N2)C3=C(C=CNC3=O)NC[C@H](C4=CC(=CC=C4)Cl)O)N5CCOCC5,4-[[(2S)-2-(3-chlorophenyl)-2-hydroxyethyl]amino]-3-(4-methyl-6-morpholin-4-yl-1H-benzimidazol-2-yl)-1H-pyridin-2-one,C25H26ClN5O3,matched
BMS-754807,BMS-754807,24785538,C[C@]1(CCCN1C2=NN3C=CC=C3C(=N2)NC4=NNC(=C4)C5CC5)C(=O)NC6=CN=C(C=C6)F,C[C@]1(CCCN1C2=NN3C=CC=C3C(=N2)NC4=NNC(=C4)C5CC5)C(=O)NC6=CN=C(C=C6)F,"(2S)-1-[4-[(5-cyclopropyl-1H-pyrazol-3-yl)amino]pyrrolo[2,1-f][1,2,4]triazin-2-yl]-N-(6-fluoro-3-pyridinyl)-2-methylpyrrolidine-2-carboxamide",C23H24FN9O,matched
BMS-911543,BMS-911543,50922691,CCN1C(=CC2=C3C(=C(N=C21)NC4=NN(C(=C4)C)C)N=CN3C)C(=O)N(C5CC5)C6CC6,CCN1C(=CC2=C3C(=C(N=C21)NC4=NN(C(=C4)C)C)N=CN3C)C(=O)N(C5CC5)C6CC6,"N,N-dicyclopropyl-7-[(1,5-dimethylpyrazol-3-yl)amino]-10-ethyl-3-methyl-3,5,8,10-tetrazatricyclo[7.3.0.02,6]dodeca-1,4,6,8,11-pentaene-11-carboxamide",C23H28N8O,matched
BRD4770,BRD4770,72193870,COC(=O)C1=CC2=C(C=C1)N(C(=N2)NC(=O)C3=CC=CC=C3)CCCC4=CC=CC=C4,COC(=O)C1=CC2=C(C=C1)N(C(=N2)NC(=O)C3=CC=CC=C3)CCCC4=CC=CC=C4,methyl 2-benzamido-1-(3-phenylpropyl)benzimidazole-5-carboxylate,C25H23N3O3,matched
Barasertib (AZD1152-HQPA),Barasertib (AZD1152-HQPA),16007391,CCN(CCCOC1=CC2=C(C=C1)C(=NC=N2)NC3=NNC(=C3)CC(=O)NC4=CC(=CC=C4)F)CCO,CCN(CCCOC1=CC2=C(C=C1)C(=NC=N2)NC3=NNC(=C3)CC(=O)NC4=CC(=CC=C4)F)CCO,2-[3-[[7-[3-[ethyl(2-hydroxyethyl)amino]propoxy]quinazolin-4-yl]amino]-1H-pyrazol-5-yl]-N-(3-fluorophenyl)acetamide,C26H30FN7O3,matched
"Baricitinib (LY3009104, INCB028050)","Baricitinib (LY3009104, INCB028050)",44205240,CCS(=O)(=O)N1CC(C1)(CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=N3,CCS(=O)(=O)N1CC(C1)(CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=N3,"2-[1-ethylsulfonyl-3-[4-(7H-pyrrolo[2,3-d]pyrimidin-4-yl)pyrazol-1-yl]azetidin-3-yl]acetonitrile",C16H17N7O2S,matched
Belinostat (PXD101),Belinostat (PXD101),6918638,C1=CC=C(C=C1)NS(=O)(=O)C2=CC=CC(=C2)/C=C/C(=O)NO,C1=CC=C(C=C1)NS(=O)(=O)C2=CC=CC(=C2)/C=C/C(=O)NO,(E)-N-hydroxy-3-[3-(phenylsulfamoyl)phenyl]prop-2-enamide,C15H14N2O4S,matched
Bisindolylmaleimide IX (Ro 31-8220 Mesylate),Bisindolylmaleimide IX,5083,CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=CN(C5=CC=CC=C54)CCCSC(=N)N,CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=CN(C5=CC=CC=C54)CCCSC(=N)N,"3-[3-[4-(1-methylindol-3-yl)-2,5-dioxopyrrol-3-yl]indol-1-yl]propyl carbamimidothioate",C25H23N5O2S,matched
Bosutinib (SKI-606),Bosutinib (SKI-606),5328940,CN1CCN(CC1)CCCOC2=C(C=C3C(=C2)N=CC(=C3NC4=CC(=C(C=C4Cl)Cl)OC)C#N)OC,CN1CCN(CC1)CCCOC2=C(C=C3C(=C2)N=CC(=C3NC4=CC(=C(C=C4Cl)Cl)OC)C#N)OC,"4-(2,4-dichloro-5-methoxyanilino)-6-methoxy-7-[3-(4-methylpiperazin-1-yl)propoxy]quinoline-3-carbonitrile",C26H29Cl2N5O3,matched
Busulfan ,Busulfan,2478,CS(=O)(=O)OCCCCOS(=O)(=O)C,CS(=O)(=O)OCCCCOS(=O)(=O)C,4-methylsulfonyloxybutyl methanesulfonate,C6H14O6S2,matched
CEP-33779,CEP-33779,57336812,CN1CCN(CC1)C2=CC=CC(=C2)NC3=NN4C=CC=C(C4=N3)C5=CC=C(C=C5)S(=O)(=O)C,CN1CCN(CC1)C2=CC=CC(=C2)NC3=NN4C=CC=C(C4=N3)C5=CC=C(C=C5)S(=O)(=O)C,"N-[3-(4-methylpiperazin-1-yl)phenyl]-8-(4-methylsulfonylphenyl)-[1,2,4]triazolo[1,5-a]pyridin-2-amine",C24H26N6O2S,matched
CUDC-101,CUDC-101,24756910,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC=CC(=C3)C#C)OCCCCCCC(=O)NO,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC=CC(=C3)C#C)OCCCCCCC(=O)NO,7-[4-(3-ethynylanilino)-7-methoxyquinazolin-6-yl]oxy-N-hydroxyheptanamide,C24H26N4O4,matched
CUDC-907,CUDC-907,54575456,CN(CC1=CC2=C(S1)C(=NC(=N2)C3=CN=C(C=C3)OC)N4CCOCC4)C5=NC=C(C=N5)C(=O)NO,CN(CC1=CC2=C(S1)C(=NC(=N2)C3=CN=C(C=C3)OC)N4CCOCC4)C5=NC=C(C=N5)C(=O)NO,"N-hydroxy-2-[[2-(6-methoxy-3-pyridinyl)-4-morpholin-4-ylthieno[3,2-d]pyrimidin-6-yl]methyl-methylamino]pyrimidine-5-carboxamide",C23H24N8O4S,matched
CYC116,CYC116,6420138,CC1=C(SC(=N1)N)C2=NC(=NC=C2)NC3=CC=C(C=C3)N4CCOCC4,CC1=C(SC(=N1)N)C2=NC(=NC=C2)NC3=CC=C(C=C3)N4CCOCC4,"4-methyl-5-[2-(4-morpholin-4-ylanilino)pyrimidin-4-yl]-1,3-thiazol-2-amine",C18H20N6OS,matched
Capecitabine ,Capecitabine,60953,CCCCCOC(=O)NC1=NC(=O)N(C=C1F)[C@H]2[C@@H]([C@@H]([C@H](O2)C)O)O,CCCCCOC(=O)NC1=NC(=O)N(C=C1F)[C@H]2[C@@H]([C@@H]([C@H](O2)C)O)O,"pentyl N-[1-[(2R,3R,4S,5R)-3,4-dihydroxy-5-methyloxolan-2-yl]-5-fluoro-2-oxopyrimidin-4-yl]carbamate",C15H22FN3O6,matched
Carmofur,Carmofur,2577,CCCCCCNC(=O)N1C=C(C(=O)NC1=O)F,CCCCCCNC(=O)N1C=C(C(=O)NC1=O)F,"5-fluoro-N-hexyl-2,4-dioxopyrimidine-1-carboxamide",C11H16FN3O3,matched
Cediranib (AZD2171),Cediranib (AZD2171),9933475,CC1=CC2=C(N1)C=CC(=C2F)OC3=NC=NC4=CC(=C(C=C43)OC)OCCCN5CCCC5,CC1=CC2=C(N1)C=CC(=C2F)OC3=NC=NC4=CC(=C(C=C43)OC)OCCCN5CCCC5,4-[(4-fluoro-2-methyl-1H-indol-5-yl)oxy]-6-methoxy-7-(3-pyrrolidin-1-ylpropoxy)quinazoline,C25H27FN4O3,matched
Celecoxib,Celecoxib,2662,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F,4-[5-(4-methylphenyl)-3-(trifluoromethyl)pyrazol-1-yl]benzenesulfonamide,C17H14F3N3O2S,matched
"Cerdulatinib (PRT062070, PRT2070)","Cerdulatinib (PRT062070, PRT2070)",56960607,CCS(=O)(=O)N1CCN(CC1)C2=CC=C(C=C2)NC3=NC=C(C(=N3)NC4CC4)C(=O)N.Cl,CCS(=O)(=O)N1CCN(CC1)C2=CC=C(C=C2)NC3=NC=C(C(=N3)NC4CC4)C(=O)N.Cl,4-(cyclopropylamino)-2-[4-(4-ethylsulfonylpiperazin-1-yl)anilino]pyrimidine-5-carboxamide;hydrochloride,C20H28ClN7O3S,matched
Cimetidine ,Cimetidine,2756,CC1=C(N=CN1)CSCCNC(=NC)NC#N,CC1=C(N=CN1)CSCCNC(=NC)NC#N,1-cyano-2-methyl-3-[2-[(5-methyl-1H-imidazol-4-yl)methylsulfanyl]ethyl]guanidine,C10H16N6S,matched
Clevudine ,Clevudine,73115,CC1=CN(C(=O)NC1=O)[C@@H]2[C@@H]([C@H]([C@@H](O2)CO)O)F,CC1=CN(C(=O)NC1=O)[C@@H]2[C@@H]([C@H]([C@@H](O2)CO)O)F,"1-[(2S,3R,4S,5S)-3-fluoro-4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]-5-methylpyrimidine-2,4-dione",C10H13FN2O5,matched
Costunolide,Costunolide,5281437,C/C/1=C\CC/C(=C/[C@@H]2[C@@H](CC1)C(=C)C(=O)O2)/C,C/C/1=C\CC/C(=C/[C@@H]2[C@@H](CC1)C(=C)C(=O)O2)/C,"(3aS,6E,10E,11aR)-6,10-dimethyl-3-methylidene-3a,4,5,8,9,11a-hexahydrocyclodeca[b]furan-2-one",C15H20O2,matched
Crizotinib (PF-02341066),Crizotinib (PF-02341066),11626560,C[C@H](C1=C(C=CC(=C1Cl)F)Cl)OC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N,C[C@H](C1=C(C=CC(=C1Cl)F)Cl)OC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N,"3-[(1R)-1-(2,6-dichloro-3-fluorophenyl)ethoxy]-5-(1-piperidin-4-ylpyrazol-4-yl)pyridin-2-amine",C21H22Cl2FN5O,matched
Curcumin,Curcumin,969516,COC1=C(C=CC(=C1)/C=C/C(=O)CC(=O)/C=C/C2=CC(=C(C=C2)O)OC)O,COC1=C(C=CC(=C1)/C=C/C(=O)CC(=O)/C=C/C2=CC(=C(C=C2)O)OC)O,"(1E,6E)-1,7-bis(4-hydroxy-3-methoxyphenyl)hepta-1,6-diene-3,5-dione",C21H20O6,matched
Cyclocytidine HCl,Cyclocytidine HCl,25050,C1=CN2[C@H]3[C@H]([C@@H]([C@H](O3)CO)O)OC2=NC1=N.Cl,C1=CN2[C@H]3[C@H]([C@@H]([C@H](O3)CO)O)OC2=NC1=N.Cl,"(2R,4R,5R,6S)-4-(hydroxymethyl)-10-imino-3,7-dioxa-1,9-diazatricyclo[6.4.0.02,6]dodeca-8,11-dien-5-ol;hydrochloride",C9H12ClN3O4,matched
Dacinostat (LAQ824),Dacinostat,6445533,C1=CC=C2C(=C1)C(=CN2)CCN(CCO)CC3=CC=C(C=C3)/C=C/C(=O)NO,C1=CC=C2C(=C1)C(=CN2)CCN(CCO)CC3=CC=C(C=C3)/C=C/C(=O)NO,(E)-N-hydroxy-3-[4-[[2-hydroxyethyl-[2-(1H-indol-3-yl)ethyl]amino]methyl]phenyl]prop-2-enamide,C22H25N3O3,matched
Danusertib (PHA-739358),Danusertib (PHA-739358),11442891,CN1CCN(CC1)C2=CC=C(C=C2)C(=O)NC3=NNC4=C3CN(C4)C(=O)[C@@H](C5=CC=CC=C5)OC,CN1CCN(CC1)C2=CC=C(C=C2)C(=O)NC3=NNC4=C3CN(C4)C(=O)[C@@H](C5=CC=CC=C5)OC,"N-[5-[(2R)-2-methoxy-2-phenylacetyl]-4,6-dihydro-1H-pyrrolo[3,4-d]pyrazol-3-yl]-4-(4-methylpiperazin-1-yl)benzamide",C26H30N6O3,matched
Daphnetin,Daphnetin,5280569,C1=CC(=C(C2=C1C=CC(=O)O2)O)O,C1=CC(=C(C2=C1C=CC(=O)O2)O)O,"7,8-dihydroxychromen-2-one",C9H6O4,matched
Dasatinib,Dasatinib,3062316,CC1=C(C(=CC=C1)Cl)NC(=O)C2=CN=C(S2)NC3=CC(=NC(=N3)C)N4CCN(CC4)CCO,CC1=C(C(=CC=C1)Cl)NC(=O)C2=CN=C(S2)NC3=CC(=NC(=N3)C)N4CCN(CC4)CCO,"N-(2-chloro-6-methylphenyl)-2-[[6-[4-(2-hydroxyethyl)piperazin-1-yl]-2-methylpyrimidin-4-yl]amino]-1,3-thiazole-5-carboxamide",C22H26ClN7O2S,matched
Decitabine,Decitabine,451668,C1[C@@H]([C@H](O[C@H]1N2C=NC(=NC2=O)N)CO)O,C1[C@@H]([C@H](O[C@H]1N2C=NC(=NC2=O)N)CO)O,"4-amino-1-[(2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]-1,3,5-triazin-2-one",C8H12N4O4,matched
Disulfiram ,Disulfiram,3117,CCN(CC)C(=S)SSC(=S)N(CC)CC,CCN(CC)C(=S)SSC(=S)N(CC)CC,"diethylcarbamothioylsulfanyl N,N-diethylcarbamodithioate",C10H20N2S4,matched
Divalproex Sodium,Divalproex Sodium,23663956,CCCC(CCC)C(=O)O.CCCC(CCC)C(=O)[O-].[Na+],CCCC(CCC)C(=O)O.CCCC(CCC)C(=O)[O-].[Na+],sodium;2-propylpentanoate;2-propylpentanoic acid,C16H31NaO4,matched
Droxinostat,Droxinostat,568416,CC1=C(C=CC(=C1)Cl)OCCCC(=O)NO,CC1=C(C=CC(=C1)Cl)OCCCC(=O)NO,4-(4-chloro-2-methylphenoxy)-N-hydroxybutanamide,C11H14ClNO3,matched
EED226,EED226,123132228,CS(=O)(=O)C1=CC=C(C=C1)C2=CN=C(N3C2=NN=C3)NCC4=CC=CO4,CS(=O)(=O)C1=CC=C(C=C1)C2=CN=C(N3C2=NN=C3)NCC4=CC=CO4,"N-(furan-2-ylmethyl)-8-(4-methylsulfonylphenyl)-[1,2,4]triazolo[4,3-c]pyrimidin-5-amine",C17H15N5O3S,matched
ENMD-2076,ENMD-2076,16041424,CC1=CC(=NN1)NC2=CC(=NC(=N2)/C=C/C3=CC=CC=C3)N4CCN(CC4)C,CC1=CC(=NN1)NC2=CC(=NC(=N2)/C=C/C3=CC=CC=C3)N4CCN(CC4)C,6-(4-methylpiperazin-1-yl)-N-(5-methyl-1H-pyrazol-3-yl)-2-[(E)-2-phenylethenyl]pyrimidin-4-amine,C21H25N7,matched
ENMD-2076 L-(+)-Tartaric acid ,ENMD-2076 L-(+)-Tartaric acid,66576993,CC1=CC(=NN1)NC2=CC(=NC(=N2)/C=C/C3=CC=CC=C3)N4CCN(CC4)C.[C@H]([C@@H](C(=O)O)O)(C(=O)O)O,CC1=CC(=NN1)NC2=CC(=NC(=N2)/C=C/C3=CC=CC=C3)N4CCN(CC4)C.[C@H]([C@@H](C(=O)O)O)(C(=O)O)O,"(2S,3S)-2,3-dihydroxybutanedioic acid;6-(4-methylpiperazin-1-yl)-N-(5-methyl-1H-pyrazol-3-yl)-2-[(E)-2-phenylethenyl]pyrimidin-4-amine",C25H31N7O6,matched
Ellagic acid,Ellagic acid,5281855,C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O,C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O,"6,7,13,14-tetrahydroxy-2,9-dioxatetracyclo[6.6.2.04,16.011,15]hexadeca-1(15),4,6,8(16),11,13-hexaene-3,10-dione",C14H6O8,matched
