dataset,model,model_label,split,seed,n_records,n_gene_sets,mean_pathway_pearson,sd_pathway_pearson,median_pathway_pearson,iqr_pathway_pearson,mean_pathway_rmse,median_pathway_rmse,status,notes
sciplex3_24h_top2000,transigen_adapted_sciplex3,TranSiGen-style,scaffold_heldout,21,403,39,0.24200516695140173,0.29175691965375516,0.23056047755424997,0.41314743788697134,0.033492483377186764,0.02376260802496201,completed,Loaded completed prediction vectors from transigen_seed021_scaffold_heldout.npz.
sciplex3_24h_top2000,prnet_adapted_sciplex3,PRnet-style,scaffold_heldout,21,403,39,0.043499391511322705,0.17715296709221773,0.044922956560255294,0.24493327240273824,0.06439837079261117,0.05640442046697929,completed,Loaded completed prediction vectors from prnet_main30_seed021_scaffold_heldout.npz.
sciplex3_24h_top2000,global_train_mean,Global mean,cell_scaffold_heldout,21,138,39,0.16491606496292877,0.2844647452193253,0.12625473089827294,0.4251547877140376,0.03527611772967496,0.022852576447882685,completed,Reconstructed from train-only mean response vectors.
sciplex3_24h_top2000,ridge_drug_fp,Ridge drug FP,cell_scaffold_heldout,21,138,39,0.1254170142684165,0.2915999642841951,0.08991962567044434,0.40566722756636164,0.03725053911566792,0.026530605867449614,completed,Reconstructed with alpha=10 and training-only feature preprocessing.
sciplex3_24h_top2000,ridge_cell_dose_drug_fp,Ridge cell+dose+drug FP,cell_scaffold_heldout,21,138,39,0.1314817869194912,0.30352688902263575,0.1380858244382614,0.4567253418899605,0.03722814571161355,0.026403973547961767,completed,Reconstructed with alpha=10 and training-only feature preprocessing.
sciplex3_24h_top2000,transigen_adapted_sciplex3,TranSiGen-style,cell_scaffold_heldout,21,138,39,-0.010207397871202546,0.19689109512101055,-0.010754730361167471,0.32866277672111976,0.5603424931131095,0.561840426503472,completed,Loaded completed prediction vectors from transigen_seed021_cell_scaffold_heldout.npz.
sciplex3_24h_top2000,prnet_adapted_sciplex3,PRnet-style,cell_scaffold_heldout,21,138,39,0.0613804715069411,0.2710490538994947,0.03151671685357105,0.38935224119687156,0.48057962246511443,0.48815833597402924,completed,Loaded completed prediction vectors from prnet_main30_seed021_cell_scaffold_heldout.npz.
sciplex3_24h_top2000,global_train_mean,Global mean,random,22,456,39,0.17938098598924107,0.2890332494046557,0.17785330463661875,0.4174297415876258,0.03743953223759651,0.02175321624277473,completed,Reconstructed from train-only mean response vectors.
sciplex3_24h_top2000,ridge_drug_fp,Ridge drug FP,random,22,456,39,0.2894349705877488,0.2957010595822375,0.29412503789330413,0.4082576409717966,0.03484067911844605,0.023230633945150098,completed,Reconstructed with alpha=10 and training-only feature preprocessing.
sciplex3_24h_top2000,ridge_cell_dose_drug_fp,Ridge cell+dose+drug FP,random,22,456,39,0.3070928213387584,0.3077278061664358,0.2946821246520585,0.4722282358077191,0.034507443650673014,0.023697091807264797,completed,Reconstructed with alpha=10 and training-only feature preprocessing.
sciplex3_24h_top2000,transigen_adapted_sciplex3,TranSiGen-style,random,22,456,39,0.249233391846287,0.2999412933963072,0.23126287817292085,0.4260286699177286,0.033689403302116915,0.022422864160260923,completed,Loaded completed prediction vectors from transigen_seed022_random.npz.
sciplex3_24h_top2000,prnet_adapted_sciplex3,PRnet-style,random,22,456,39,0.038086057769775986,0.1945449094870778,0.01648481099960582,0.27491925607200446,0.060897781745861156,0.05425236204689006,completed,Loaded completed prediction vectors from prnet_main30_seed022_random.npz.
sciplex3_24h_top2000,global_train_mean,Global mean,scaffold_heldout,22,437,39,0.1843007879638752,0.2931178931866151,0.16672376702003414,0.4487860617590271,0.03305423414351181,0.02255653423664821,completed,Reconstructed from train-only mean response vectors.
sciplex3_24h_top2000,ridge_drug_fp,Ridge drug FP,scaffold_heldout,22,437,39,0.1411094853714155,0.317456141261132,0.12331642986391816,0.43885205188316023,0.03528202679665932,0.026554077932269163,completed,Reconstructed with alpha=10 and training-only feature preprocessing.
sciplex3_24h_top2000,ridge_cell_dose_drug_fp,Ridge cell+dose+drug FP,scaffold_heldout,22,437,39,0.18226128162529456,0.31688908850299125,0.1840692531760416,0.42968382750280704,0.03529465982259091,0.027208632296902797,completed,Reconstructed with alpha=10 and training-only feature preprocessing.
sciplex3_24h_top2000,transigen_adapted_sciplex3,TranSiGen-style,scaffold_heldout,22,437,39,0.22994206976669523,0.3152852848688374,0.22863741775982482,0.4682630201442815,0.032279240429481174,0.022471574519368872,completed,Loaded completed prediction vectors from transigen_seed022_scaffold_heldout.npz.
sciplex3_24h_top2000,prnet_adapted_sciplex3,PRnet-style,scaffold_heldout,22,437,39,0.008487240084858575,0.20547008687793913,0.0027185826146731836,0.2907748072271412,0.0676217160115771,0.06479874334197085,completed,Loaded completed prediction vectors from prnet_main30_seed022_scaffold_heldout.npz.
sciplex3_24h_top2000,global_train_mean,Global mean,cell_scaffold_heldout,22,143,39,0.07228735319613565,0.2386735091960594,0.07962078365766499,0.36183672864660316,0.02607129562790734,0.019852095618605462,completed,Reconstructed from train-only mean response vectors.
sciplex3_24h_top2000,ridge_drug_fp,Ridge drug FP,cell_scaffold_heldout,22,143,39,0.015524849731818087,0.22492299987424344,0.03835971632344068,0.3192702162070636,0.030667602786686968,0.02600582621646708,completed,Reconstructed with alpha=10 and training-only feature preprocessing.
sciplex3_24h_top2000,ridge_cell_dose_drug_fp,Ridge cell+dose+drug FP,cell_scaffold_heldout,22,143,39,0.011894865465685803,0.22927398172946384,0.011203167735184693,0.32036554184652877,0.031214000657479066,0.026398387468259895,completed,Reconstructed with alpha=10 and training-only feature preprocessing.
